"","SAMPLE_ID","CLAY","SILT","SAND","SOC","CaCO3","N","P","K","CEC","GPS_PROJ","GPS_LAT","GPS_LONG","LC1","LC2","LU1","LU2","MINERAL","COUNTRY"
"745","10857",2,2,96,25.1,0,0.8,0,20.5,2.7,"WGS84",44.076618,-0.262881,"C20","8","U120","8","mineral","FRANCE"
"746","10858",2,3,95,46.9,1,2.1,0,51.9,5.7,"WGS84",44.066716,-0.361803,"C20","8","U120","8","mineral","FRANCE"
"747","10859",16,73,10,15.8,1,1.7,26,82.3,8.9,"WGS84",49.296703,-1.447183,"B11","8","U111","U364","mineral","FRANCE"
"748","10860",15,68,17,22,0,2.3,53.9,1004.8,11.7,"WGS84",49.251765,-1.353781,"E20","8","U111","8","mineral","FRANCE"
"749","10861",28,53,20,15.2,275,1.9,17,157,19.9,"WGS84",43.75447,4.532009,"B82","8","U111","8","mineral","FRANCE"
"750","10862",11,24,65,34.2,123,2.6,18,203.8,16.5,"WGS84",43.95536,4.23864,"E30","8","U112","8","mineral","FRANCE"
"751","10863",9,38,52,23.7,10,1.9,83,186.3,12.4,"WGS84",43.66769,4.26724,"B82","F00","U111","8","mineral","FRANCE"
"752","10864",27,55,18,25.2,215,2.1,55.7,680.8,23.7,"WGS84",43.71746,4.18779,"B82","F00","U111","8","mineral","FRANCE"
"753","10865",11,26,63,9.7,177,1,14.8,136.2,7.7,"WGS84",43.82643,4.52518,"E30","8","U112","8","mineral","FRANCE"
"754","10866",51,42,7,48.4,63,2.9,0,305.6,32.6,"WGS84",43.9068,4.01916,"D10","8","U400","8","mineral","FRANCE"
"755","10867",17,26,56,18.8,6,1.7,14.9,174.5,14.3,"WGS84",43.94337,4.6887,"C10","8","U400","8","mineral","FRANCE"
"756","10868",6,16,79,15.2,193,1.5,36.8,208.4,8.5,"WGS84",44.22996,4.63683,"B82","E10","U111","8","mineral","FRANCE"
"757","10869",10,26,63,20.5,110,1.8,23.7,228.3,11.8,"WGS84",44.14131,4.67016,"B82","E30","U111","8","mineral","FRANCE"
"758","10870",14,32,54,9.2,219,0.9,14.5,127.2,10.2,"WGS84",44.03721,4.75488,"B82","F00","U111","8","mineral","FRANCE"
"759","10871",16,66,18,11.5,457,1.1,17.2,195.2,11,"WGS84",44.01748,4.05753,"B82","E10","U111","8","mineral","FRANCE"
"760","10872",27,46,27,35.2,287,2.2,24.2,207.6,19.8,"WGS84",43.98437,4.11086,"B81","F00","U111","8","mineral","FRANCE"
"761","10874",6,16,78,14.6,172,1.4,21,112.5,5.5,"WGS84",44.06811,4.65197,"B82","F00","U111","8","mineral","FRANCE"
"762","10875",12,29,59,55,211,3.5,31.5,169.1,19.5,"WGS84",44.10271,4.62372,"B82","F00","U111","8","mineral","FRANCE"
"763","10876",8,36,56,13.7,270,1.2,11.4,115.3,9.1,"WGS84",43.98572,4.80933,"B11","8","U111","8","mineral","FRANCE"
"764","10877",10,18,72,31.7,7,2.7,49.8,223.6,10.9,"WGS84",43.91896,4.56623,"F00","8","U370","U317","mineral","FRANCE"
"765","10878",17,52,31,20.8,1,2.2,82.9,323.1,11.9,"WGS84",43.78913,4.5038,"B75","E10","U111","8","mineral","FRANCE"
"766","10879",23,61,16,14.3,561,1.2,30.4,243.8,17.8,"WGS84",43.85854,4.12394,"E30","8","U112","8","mineral","FRANCE"
"767","10880",9,33,58,6.9,163,0.4,11.4,51.4,5.7,"WGS84",43.70642,4.31305,"D20","8","U400","8","mineral","FRANCE"
"768","10881",12,54,34,35.6,56,2.1,42.2,510.4,10.2,"WGS84",43.86634,4.59607,"B75","E30","U111","8","mineral","FRANCE"
"769","10882",17,55,28,13.8,250,1.2,27.4,266.3,12.4,"WGS84",43.77632,4.6045,"B82","F00","U111","8","mineral","FRANCE"
"770","10883",10,46,44,15.3,1,1.2,34.3,153.1,7.2,"WGS84",43.65243,4.31836,"B13","8","U111","8","mineral","FRANCE"
"771","10884",25,37,38,84,117,5.8,12.7,671.3,38.5,"WGS84",44.15797,3.39173,"E10","8","U112","8","mineral","FRANCE"
